chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.42323238,1029.0937915693028,1408.3573622936342,1875.266743953144,0.046534543970230866,-231.49171,143.18767,18.301737,13.656832,5.914451,8.83694,-0.5532019,-0.30800882,-5.7682095,-3.2539794,-6.4827633,-6.188533,-8.116601,-8.697828,-7.1200485,-3.3089113,-5.0160513,-2.5466442,-0.50267965,1.080619,NoViolence
0.37508014,2030.6918242319032,2110.7165536957086,4112.870982189678,0.0914422140223635,-63.187492,118.378204,-7.9672503,19.045006,1.0590863,3.8582022,-3.3782096,3.9623697,-2.569365,5.75631,-4.3490615,3.7204678,-8.469109,7.2781777,-8.733278,1.8464514,-6.6180096,2.377758,-4.956457,6.0763836,NoViolence
0.37508014,2030.6918242319032,2110.7165536957086,4112.870982189678,0.0914422140223635,-63.187492,118.378204,-7.9672503,19.045006,1.0590863,3.8582022,-3.3782096,3.9623697,-2.569365,5.75631,-4.3490615,3.7204678,-8.469109,7.2781777,-8.733278,1.8464514,-6.6180096,2.377758,-4.956457,6.0763836,NoViolence
0.40539744,1858.6962631224842,2133.166946352994,3934.0862583871476,0.07423537312763856,-254.77324,108.56,-3.024502,30.172943,7.184145,0.11361773,-7.3378253,0.7867367,-10.616549,1.1028868,-5.5635605,0.8497085,-5.8374577,-1.7007103,-6.322511,1.0398257,-8.894948,1.9156767,-4.280175,-0.7651124,NoViolence
0.57214975,1576.62967664788,2103.1803934054906,3384.600830078125,0.05844907407407408,-528.74115,117.65318,-2.4929082,15.969642,6.747784,15.050044,4.2863946,8.217935,0.6348659,1.545597,-0.8851536,3.043997,2.0301054,2.476475,1.477382,2.7899199,4.0856714,4.6031427,2.9255702,2.233636,NoViolence
0.28715378,863.205590275897,1134.298022682204,1725.6872269327607,0.0584271327014218,-265.8325,122.15837,-4.150509,34.15183,10.061033,17.032324,-2.6005642,0.58599186,-0.23518066,7.8851905,3.8443818,-0.6731047,4.9142623,6.1560965,1.1927664,2.248202,-3.0813508,2.1458669,-2.5327945,1.7145863,Violence
0.4078152,1840.216506970347,1534.4772631481444,3300.467433286517,0.09990075881710363,-103.53352,103.91752,-83.98981,17.88405,-3.1552494,24.062456,-6.671021,-7.0990033,-11.020051,6.222002,4.0324297,17.790365,11.039636,8.150231,2.615847,5.9604864,-1.3507869,2.3999727,2.0468817,17.281506,Violence
0.5921324,3076.2095368341884,2604.2296849579193,6334.51999830163,0.17185922942546583,-40.0242,67.35985,-10.117812,17.913797,-3.3688276,22.688572,7.335872,21.038914,-5.6997232,11.334412,-3.3454828,9.921022,-7.314384,10.619694,-2.7797916,10.543785,-8.112304,4.1316643,-5.7413626,5.0862517,Violence
0.78410816,1943.1585918984806,1844.5213915792058,4178.379038217905,0.0776000609984985,-515.0054,8.710377,-0.35107836,6.181891,2.7970552,3.0181422,0.47079858,3.1170785,1.036941,1.9872884,0.11426031,1.983392,0.529511,1.418454,0.04197308,1.3172902,0.17482367,1.1433327,-0.27555296,1.0208246,Violence
0.48033223,5627.106083556195,2552.1238782901723,8703.451538085938,0.4839680989583333,-225.932,-48.712082,-8.349349,16.354433,-6.029493,16.218863,-5.5890045,8.089054,-4.380278,10.016471,-3.7150867,14.345478,-2.6372275,9.146101,-5.0387487,9.020151,-7.845419,8.047193,-6.4137177,7.2415795,Violence
